Filename	Lambda
MVP_R4.1000G_AGR.Phe_727.EUR.GIA.dbGaP.txt.gz	1.192
MVP_R4.1000G_AGR.Phe_599.EUR.GIA.dbGaP.txt.gz	1.189
MVP_R4.1000G_AGR.Phe_532.EUR.GIA.dbGaP.txt.gz	1.189
MVP_R4.1000G_AGR.Phe_276_1.EUR.GIA.dbGaP.txt.gz	1.188
MVP_R4.1000G_AGR.Phe_563.EUR.GIA.dbGaP.txt.gz	1.187
MVP_R4.1000G_AGR.Phe_458.EUR.GIA.dbGaP.txt.gz	1.186
MVP_R4.1000G_AGR.Phe_389_4.EUR.GIA.dbGaP.txt.gz	1.185
MVP_R4.1000G_AGR.Phe_250_1.EUR.GIA.dbGaP.txt.gz	1.183
MVP_R4.1000G_AGR.Phe_070.EUR.GIA.dbGaP.txt.gz	1.183
MVP_R4.1000G_AGR.Phe_070_3.EUR.GIA.dbGaP.txt.gz	1.181
MVP_R4.1000G_AGR.Phe_788.EUR.GIA.dbGaP.txt.gz	1.181
MVP_R4.1000G_AGR.Phe_483.EUR.GIA.dbGaP.txt.gz	1.181
MVP_R4.1000G_AGR.Phe_939.EUR.GIA.dbGaP.txt.gz	1.18
MVP_R4.1000G_AGR.Phe_356.EUR.GIA.dbGaP.txt.gz	1.18
MVP_R4.1000G_AGR.Phe_426.EUR.GIA.dbGaP.txt.gz	1.18
MVP_R4.1000G_AGR.Phe_512_8.EUR.GIA.dbGaP.txt.gz	1.18
MVP_R4.1000G_AGR.Phe_591.EUR.GIA.dbGaP.txt.gz	1.179
MVP_R4.1000G_AGR.Phe_355_1.EUR.GIA.dbGaP.txt.gz	1.176
MVP_R4.1000G_AGR.Phe_350_2.EUR.GIA.dbGaP.txt.gz	1.176
MVP_R4.1000G_AGR.Phe_380_4.EUR.GIA.dbGaP.txt.gz	1.175
MVP_R4.1000G_AGR.Phe_452.EUR.GIA.dbGaP.txt.gz	1.174
MVP_R4.1000G_AGR.Phe_550_1.EUR.GIA.dbGaP.txt.gz	1.171
MVP_R4.1000G_AGR.Phe_561.EUR.GIA.dbGaP.txt.gz	1.171
MVP_R4.1000G_AGR.Phe_440.EUR.GIA.dbGaP.txt.gz	1.17
MVP_R4.1000G_AGR.Phe_521_1.EUR.GIA.dbGaP.txt.gz	1.162
MVP_R4.1000G_AGR.Phe_456.EUR.GIA.dbGaP.txt.gz	1.161
MVP_R4.1000G_AGR.Phe_521.EUR.GIA.dbGaP.txt.gz	1.16
MVP_R4.1000G_AGR.Phe_340.EUR.GIA.dbGaP.txt.gz	1.16
MVP_R4.1000G_AGR.Phe_509_1.EUR.GIA.dbGaP.txt.gz	1.159
MVP_R4.1000G_AGR.Phe_475.EUR.GIA.dbGaP.txt.gz	1.157
MVP_R4.1000G_AGR.Phe_427_5.EUR.GIA.dbGaP.txt.gz	1.155
MVP_R4.1000G_AGR.Phe_716.EUR.GIA.dbGaP.txt.gz	1.152
MVP_R4.1000G_AGR.Phe_367_2.EUR.GIA.dbGaP.txt.gz	1.152
MVP_R4.1000G_AGR.Phe_425.EUR.GIA.dbGaP.txt.gz	1.15
MVP_R4.1000G_AGR.Phe_578.EUR.GIA.dbGaP.txt.gz	1.15
MVP_R4.1000G_AGR.Phe_261.EUR.GIA.dbGaP.txt.gz	1.149
MVP_R4.1000G_AGR.Phe_250_3.EUR.GIA.dbGaP.txt.gz	1.148
MVP_R4.1000G_AGR.Phe_455.EUR.GIA.dbGaP.txt.gz	1.148
MVP_R4.1000G_AGR.Phe_561_1.EUR.GIA.dbGaP.txt.gz	1.148
MVP_R4.1000G_AGR.Phe_743.EUR.GIA.dbGaP.txt.gz	1.147
MVP_R4.1000G_AGR.Phe_735_2.EUR.GIA.dbGaP.txt.gz	1.144
MVP_R4.1000G_AGR.Phe_789.EUR.GIA.dbGaP.txt.gz	1.144
MVP_R4.1000G_AGR.Phe_280.EUR.GIA.dbGaP.txt.gz	1.143
MVP_R4.1000G_AGR.Phe_741.EUR.GIA.dbGaP.txt.gz	1.141
MVP_R4.1000G_AGR.Phe_425_1.EUR.GIA.dbGaP.txt.gz	1.141
MVP_R4.1000G_AGR.Phe_427_3.EUR.GIA.dbGaP.txt.gz	1.139
MVP_R4.1000G_AGR.Phe_593.EUR.GIA.dbGaP.txt.gz	1.137
MVP_R4.1000G_AGR.Phe_765.EUR.GIA.dbGaP.txt.gz	1.137
MVP_R4.1000G_AGR.Phe_735_21.EUR.GIA.dbGaP.txt.gz	1.135
MVP_R4.1000G_AGR.Phe_798.EUR.GIA.dbGaP.txt.gz	1.135
MVP_R4.1000G_AGR.Phe_276_14.EUR.GIA.dbGaP.txt.gz	1.135
MVP_R4.1000G_AGR.Phe_727_1.EUR.GIA.dbGaP.txt.gz	1.135
MVP_R4.1000G_AGR.Phe_433_31.EUR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_272_11.EUR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_250.AFR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_395.EUR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_280_1.EUR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_368.EUR.GIA.dbGaP.txt.gz	1.134
MVP_R4.1000G_AGR.Phe_840.EUR.GIA.dbGaP.txt.gz	1.133
MVP_R4.1000G_AGR.Phe_250_2.AFR.GIA.dbGaP.txt.gz	1.133
MVP_R4.1000G_AGR.Phe_415.EUR.GIA.dbGaP.txt.gz	1.133
MVP_R4.1000G_AGR.Phe_716_9.EUR.GIA.dbGaP.txt.gz	1.132
MVP_R4.1000G_AGR.Phe_257.EUR.GIA.dbGaP.txt.gz	1.132
MVP_R4.1000G_AGR.Phe_257_1.EUR.GIA.dbGaP.txt.gz	1.13
MVP_R4.1000G_AGR.Phe_523.EUR.GIA.dbGaP.txt.gz	1.13
MVP_R4.1000G_AGR.Phe_571.EUR.GIA.dbGaP.txt.gz	1.129
MVP_R4.1000G_AGR.Phe_371.EUR.GIA.dbGaP.txt.gz	1.126
MVP_R4.1000G_AGR.Phe_735_1.EUR.GIA.dbGaP.txt.gz	1.124
MVP_R4.1000G_AGR.Phe_458_9.EUR.GIA.dbGaP.txt.gz	1.123
MVP_R4.1000G_AGR.Phe_770.EUR.GIA.dbGaP.txt.gz	1.122
MVP_R4.1000G_AGR.Phe_497.EUR.GIA.dbGaP.txt.gz	1.122
MVP_R4.1000G_AGR.Phe_276_13.EUR.GIA.dbGaP.txt.gz	1.122
MVP_R4.1000G_AGR.Phe_571_5.EUR.GIA.dbGaP.txt.gz	1.121
MVP_R4.1000G_AGR.Phe_772_3.EUR.GIA.dbGaP.txt.gz	1.12
MVP_R4.1000G_AGR.Phe_726_1.EUR.GIA.dbGaP.txt.gz	1.119
MVP_R4.1000G_AGR.Phe_514.EUR.GIA.dbGaP.txt.gz	1.119
MVP_R4.1000G_AGR.Phe_401_21.EUR.GIA.dbGaP.txt.gz	1.118
MVP_R4.1000G_AGR.Phe_464.EUR.GIA.dbGaP.txt.gz	1.117
MVP_R4.1000G_AGR.Phe_599_2.EUR.GIA.dbGaP.txt.gz	1.116
MVP_R4.1000G_AGR.Phe_573_7.EUR.GIA.dbGaP.txt.gz	1.116
MVP_R4.1000G_AGR.Phe_599_4.EUR.GIA.dbGaP.txt.gz	1.115
MVP_R4.1000G_AGR.Phe_728_7.EUR.GIA.dbGaP.txt.gz	1.113
MVP_R4.1000G_AGR.Phe_379.EUR.GIA.dbGaP.txt.gz	1.113
MVP_R4.1000G_AGR.Phe_381.EUR.GIA.dbGaP.txt.gz	1.112
MVP_R4.1000G_AGR.Phe_433_2.EUR.GIA.dbGaP.txt.gz	1.112
MVP_R4.1000G_AGR.Phe_038.EUR.GIA.dbGaP.txt.gz	1.112
MVP_R4.1000G_AGR.Phe_278_1.AFR.GIA.dbGaP.txt.gz	1.112
MVP_R4.1000G_AGR.Phe_371_3.EUR.GIA.dbGaP.txt.gz	1.111
MVP_R4.1000G_AGR.Phe_916.EUR.GIA.dbGaP.txt.gz	1.109
MVP_R4.1000G_AGR.Phe_276_5.EUR.GIA.dbGaP.txt.gz	1.109
MVP_R4.1000G_AGR.Phe_250_25.EUR.GIA.dbGaP.txt.gz	1.105
MVP_R4.1000G_AGR.Phe_741_3.EUR.GIA.dbGaP.txt.gz	1.104
MVP_R4.1000G_AGR.Phe_041.EUR.GIA.dbGaP.txt.gz	1.103
MVP_R4.1000G_AGR.Phe_365.AFR.GIA.dbGaP.txt.gz	1.103
MVP_R4.1000G_AGR.Phe_365_1.AFR.GIA.dbGaP.txt.gz	1.103
MVP_R4.1000G_AGR.Phe_735_3.EUR.GIA.dbGaP.txt.gz	1.102
MVP_R4.1000G_AGR.Phe_379_2.EUR.GIA.dbGaP.txt.gz	1.102
MVP_R4.1000G_AGR.Phe_722_1.EUR.GIA.dbGaP.txt.gz	1.101
MVP_R4.1000G_AGR.Phe_835.EUR.GIA.dbGaP.txt.gz	1.101
MVP_R4.1000G_AGR.Phe_586.EUR.GIA.dbGaP.txt.gz	1.101
MVP_R4.1000G_AGR.Phe_601.EUR.GIA.dbGaP.txt.gz	1.1
MVP_R4.1000G_AGR.Phe_250_4.EUR.GIA.dbGaP.txt.gz	1.099
MVP_R4.1000G_AGR.Phe_871.EUR.GIA.dbGaP.txt.gz	1.099
MVP_R4.1000G_AGR.Phe_599_5.EUR.GIA.dbGaP.txt.gz	1.098
MVP_R4.1000G_AGR.Phe_427_9.EUR.GIA.dbGaP.txt.gz	1.097
MVP_R4.1000G_AGR.Phe_571_51.EUR.GIA.dbGaP.txt.gz	1.096
MVP_R4.1000G_AGR.Phe_285_2.EUR.GIA.dbGaP.txt.gz	1.095
MVP_R4.1000G_AGR.Phe_593_2.EUR.GIA.dbGaP.txt.gz	1.094
MVP_R4.1000G_AGR.Phe_523_3.EUR.GIA.dbGaP.txt.gz	1.094
MVP_R4.1000G_AGR.Phe_278.AFR.GIA.dbGaP.txt.gz	1.093
MVP_R4.1000G_AGR.Phe_241.EUR.GIA.dbGaP.txt.gz	1.093
MVP_R4.1000G_AGR.Phe_275.EUR.GIA.dbGaP.txt.gz	1.092
MVP_R4.1000G_AGR.Phe_535.EUR.GIA.dbGaP.txt.gz	1.091
MVP_R4.1000G_AGR.Phe_596.EUR.GIA.dbGaP.txt.gz	1.09
MVP_R4.1000G_AGR.Phe_578_2.EUR.GIA.dbGaP.txt.gz	1.088
